formatted_collection_date,collection_date,free,used,allocated,capacity,orphaned,snap,client_id
02/03/2019,2019-02-03T00:00:00,268088.15,579830.8,611605.92,847918.95,5751.0,1070.44,188
02/10/2019,2019-02-10T00:00:00,268061.04,579859.6,611605.92,847920.64,5751.0,1079.95,188
02/17/2019,2019-02-17T00:00:00,267762.49,580163.8,611605.92,847926.29,31427.0,1369.87,188
02/24/2019,2019-02-24T00:00:00,267751.28,580175.2,611605.92,847926.48,31427.0,1355.57,188
03/03/2019,2019-03-03T00:00:00,293875.31,553687.8,585929.92,847563.11,7653.0,1095.62,188
03/10/2019,2019-03-10T00:00:00,278221.11,528638.5,555366.17,806859.61,7653.0,1094.63,188
03/17/2019,2019-03-17T00:00:00,298868.93,553820.6,580490.17,852689.53,7653.0,1123.48,188
03/24/2019,2019-03-24T00:00:00,298838.25,553850.7,580490.17,852688.95,7653.0,1126.77,188
03/31/2019,2019-03-31T00:00:00,294030.11,553888.2,585929.92,847918.31,7653.0,1118.97,188
04/07/2019,2019-04-07T00:00:00,298737.05,553954.0,580490.17,852691.05,7653.0,1129.28,188
04/14/2019,2019-04-14T00:00:00,297380.56,555313.2,581240.17,852693.76,7653.0,1101.5,188
04/21/2019,2019-04-21T00:00:00,290615.64,557306.7,589358.92,847922.34,7653.0,1113.8,188
04/28/2019,2019-04-28T00:00:00,289930.99,557988.0,590059.92,847918.99,7653.0,1115.9,188
05/05/2019,2019-05-05T00:00:00,289785.2,558135.1,590209.92,847920.3,7803.0,1134.39,188
05/12/2019,2019-05-12T00:00:00,289772.28,558150.8,590219.92,847923.08,7813.0,1110.48,188
05/19/2019,2019-05-19T00:00:00,289080.89,558837.9,590819.92,847918.79,7813.0,1129.34,188
05/26/2019,2019-05-26T00:00:00,289087.84,558827.14,590819.92,847914.98,7813.0,1110.55,188
06/02/2019,2019-06-02T00:00:00,288911.67,559003.31,590819.92,847914.98,7813.0,1261.13,188
06/09/2019,2019-06-09T00:00:00,288687.88,559227.1,591129.92,847914.98,63011.0,1119.84,188
06/16/2019,2019-06-16T00:00:00,291710.75,556204.23,587529.86,847914.98,59411.0,1143.8,188
06/23/2019,2019-06-23T00:00:00,341607.22,506207.76,539000.86,847814.98,9442.0,1097.17,188
06/30/2019,2019-06-30T00:00:00,341592.96,506222.02,539000.86,847814.98,9442.0,1102.43,188
07/07/2019,2019-07-07T00:00:00,341584.18,506230.8,539000.86,847814.98,9442.0,1087.21,188
07/14/2019,2019-07-14T00:00:00,339999.04,507615.94,540087.86,847614.98,10379.0,1344.59,188
07/21/2019,2019-07-21T00:00:00,338560.57,509054.41,541387.86,847614.98,10429.0,1328.2,188
07/28/2019,2019-07-28T00:00:00,333238.09,514376.89,546862.61,847614.98,10579.0,1335.67,188
08/04/2019,2019-08-04T00:00:00,333325.92,514289.06,546862.61,847614.98,10579.0,1233.15,188
08/11/2019,2019-08-11T00:00:00,334702.25,512912.73,544978.74,847614.98,10729.0,1479.23,188
08/18/2019,2019-08-18T00:00:00,333618.85,513996.13,546778.74,847614.98,10729.0,1333.56,188
08/25/2019,2019-08-25T00:00:00,283814.87,515407.35,550978.74,799222.22,11329.0,1252.02,188
09/01/2019,2019-09-01T00:00:00,283634.32,515587.9,550978.74,799222.22,11329.0,1377.44,188
09/08/2019,2019-09-08T00:00:00,285640.11,513582.11,550321.74,799222.22,10392.0,1355.24,188
09/15/2019,2019-09-15T00:00:00,285737.21,513485.01,549822.74,799222.22,23640.0,1377.97,188
09/22/2019,2019-09-22T00:00:00,285765.34,513456.88,549822.74,799222.22,23640.0,1333.85,188
09/29/2019,2019-09-29T00:00:00,300849.63,498372.59,534665.68,799222.22,8583.0,1371.06,188
10/06/2019,2019-10-06T00:00:00,300832.34,498389.88,547022.18,799222.22,8583.0,1343.02,188
10/13/2019,2019-10-13T00:00:00,300772.03,498450.19,534665.68,799222.22,8583.0,1387.91,188
10/20/2019,2019-10-20T00:00:00,297968.0,501254.22,537695.68,799222.22,8883.0,1373.53,188
10/27/2019,2019-10-27T00:00:00,298730.35,500491.87,536575.68,799222.22,8883.0,1364.82,188
11/03/2019,2019-11-03T00:00:00,298332.72,500889.5,548567.68,799222.22,8883.0,1707.52,188
11/10/2019,2019-11-10T00:00:00,298663.18,500559.04,536575.68,799222.22,8883.0,1365.94,188
11/17/2019,2019-11-17T00:00:00,291233.86,507988.36,543935.68,799222.22,26843.0,1377.15,188
11/24/2019,2019-11-24T00:00:00,301786.88,497435.34,533325.68,799222.22,16233.0,1370.46,188
12/01/2019,2019-12-01T00:00:00,301621.83,497600.39,533325.68,799222.22,16233.0,1530.18,188
12/08/2019,2019-12-08T00:00:00,301959.96,497262.26,544501.18,799222.22,16233.0,1157.45,188
12/15/2019,2019-12-15T00:00:00,301521.95,497700.27,533526.31,799222.22,16233.24,1379.49,188
12/22/2019,2019-12-22T00:00:00,301501.46,497720.76,533526.31,799222.22,16232.72,1389.71,188
12/29/2019,2019-12-29T00:00:00,301397.82,497824.4,533526.31,799222.22,16232.72,1488.99,188
01/05/2020,2020-01-05T00:00:00,301492.91,497729.31,546215.81,799222.22,16232.72,1382.68,188
01/12/2020,2020-01-12T00:00:00,301320.16,497902.06,533526.31,799222.22,11206.72,1380.99,188
01/19/2020,2020-01-19T00:00:00,301339.36,497882.86,533526.31,799222.22,11206.72,1532.27,188
01/26/2020,2020-01-26T00:00:00,301403.11,497819.11,533526.31,799222.22,11206.72,1402.51,188
